Time,Gender,Age,红梅映雪千家瑞，赤县迎春百业新,花明柳媚春光好，大江南北庆丰收,水无两点不成冰，王不出头谁是主,庄生梦蝶知无我，晏子分桃为有他,秋风送爽花正艳，雨打屋檐人未归,黄河东去流不息，庭前落叶扫无痕,浪遏飞舟留客住 风吹垂柳赋情来,黄莺日日盼新岁，绿柳枝枝辞旧年
160秒,1,4,10,7,6,9,5,7,9,10
183秒,2,4,9,6,6,9,8,8,9,10
301秒,2,4,2,5,2,8,6,3,7,9
166秒,2,4,9,0,2,7,4,5,8,9
110秒,2,4,10,5,4,9,8,6,10,10
224秒,2,6,8,5,8,8,6,5,9,10
1248秒,2,4,7,5,7,7,6,7,7,8
170秒,2,4,8,5,6,7,6,7,5,7
132秒,2,4,10,2,5,7,5,4,6,9
274秒,2,4,7,3,5,9,6,8,10,9
46秒,2,5,6,7,5,7,8,9,9,9
84秒,2,4,4,3,4,7,5,5,6,6
48秒,1,5,8,5,5,8,8,7,9,9
121秒,2,4,8,6,9,8,7,6,8,10
430秒,2,4,8,6,5,8,5,8,6,10
99秒,2,4,8,4,1,9,5,5,9,10
149秒,2,4,8,0,10,10,10,10,8,10
146秒,1,6,8,7,6,9,7,8,8,9
122秒,2,4,10,6,8,9,7,6,10,10
51秒,2,6,8,9,10,10,10,10,9,10
32秒,1,2,10,10,10,9,9,10,10,10
168秒,1,6,8,8,9,9,8,7,9,10
122秒,2,2,8,6,6,7,9,6,6,8
98秒,2,6,8,6,7,9,9,9,10,10
75秒,2,6,9,8,8,9,9,10,9,9
86秒,1,4,8,5,8,9,7,7,5,6
55秒,2,6,8,8,8,8,8,8,8,10
419秒,2,6,10,7,7,6,7,8,10,10
36秒,1,4,8,6,4,9,5,8,9,10
98秒,2,2,8,6,9,9,7,6,9,9
127秒,1,6,8,5,8,10,5,6,8,8
164秒,2,6,10,1,10,10,5,5,10,10
72秒,2,6,9,10,10,10,9,10,10,10
190秒,2,4,6,3,7,6,3,5,7,7
86秒,2,6,9,8,8,8,7,9,7,8
47秒,2,5,10,10,10,9,9,9,10,10
959秒,2,6,9,6,8,9,8,9,9,10
160秒,2,6,10,10,5,8,6,5,8,10
61秒,1,2,7,8,6,8,8,7,8,9
138秒,2,6,9,9,8,8,8,8,9,9
87秒,2,5,6,7,8,8,7,8,8,9
38秒,2,5,9,10,10,9,9,10,10,10
58秒,2,5,8,8,7,10,8,8,8,9
65秒,1,6,7,7,10,10,10,9,8,10
68秒,1,2,7,8,6,9,7,9,10,6
503秒,2,6,10,5,5,9,7,9,9,10
129秒,2,2,8,7,8,8,9,7,8,9
47秒,2,6,9,8,9,8,8,9,10,9
131秒,1,2,8,10,5,10,9,10,9,10
47秒,2,6,5,5,5,5,5,5,5,8
111秒,2,6,7,8,9,9,8,9,8,9
193秒,2,6,5,10,5,8,9,10,6,10
187秒,2,6,6,5,7,7,7,6,8,9
79秒,1,3,8,7,5,9,7,5,9,8
69秒,2,6,7,7,5,9,7,7,8,8
47秒,2,6,10,10,9,10,9,8,8,10
148秒,1,6,10,0,2,10,3,5,8,10
150秒,2,6,8,6,6,9,8,8,10,9
371秒,2,2,8,6,9,7,6,7,8,9
167秒,2,2,8,9,10,10,5,5,5,10
52秒,2,6,10,6,9,9,7,7,9,10
98秒,2,6,8,8,7,8,9,8,9,10
2449秒,1,6,6,6,8,8,6,6,6,7
247秒,2,2,3,5,3,9,10,9,8,10
127秒,2,6,9,8,7,6,7,5,6,9
231秒,2,6,7,6,8,6,9,6,8,9
243秒,2,6,8,6,7,9,7,6,8,8
90秒,1,4,9,5,8,10,6,5,8,10
83秒,2,2,8,9,8,7,9,9,10,9
88秒,2,5,9,6,9,9,8,7,9,10
96秒,2,4,8,3,6,7,8,7,10,10
145秒,2,2,5,0,10,7,5,6,9,10
22秒,2,5,9,9,9,9,9,9,9,9
131秒,2,6,8,10,10,10,10,10,10,10
217秒,2,2,7,8,5,6,9,7,6,8
213秒,2,4,6,3,5,8,8,7,4,10
181秒,1,4,7,5,2,8,5,1,6,5
25秒,1,4,8,8,8,8,8,8,8,8
77秒,1,6,6,7,1,8,9,10,5,2
216秒,2,5,8,6,6,9,7,6,9,10
47秒,1,6,9,10,8,7,10,8,9,7
172秒,2,6,8,3,10,10,10,10,8,10
361秒,2,6,10,2,0,9,5,2,10,10
44秒,2,6,8,8,7,7,7,8,7,10
93秒,2,2,10,10,10,10,9,10,9,10
66秒,2,6,9,9,10,10,9,9,10,10
88秒,1,2,9,8,10,8,8,7,8,10
34秒,2,6,10,10,10,8,8,8,9,10
75秒,2,4,10,6,10,10,6,6,10,10
88秒,2,6,10,8,8,8,9,9,8,9
71秒,2,6,10,10,10,10,10,10,10,9
69秒,2,6,10,10,5,5,5,5,10,10
221秒,1,2,7,5,8,6,6,6,7,8
55秒,2,2,5,3,6,8,3,5,6,10
193秒,1,6,9,8,9,10,8,9,10,10
82秒,2,6,6,5,5,7,4,5,8,9
160秒,1,6,10,9,8,10,10,9,9,10
40秒,1,2,9,10,10,10,9,9,10,8
68秒,1,6,9,8,10,8,9,9,8,8
53秒,2,5,8,8,8,8,9,9,9,9
145秒,1,6,10,5,7,9,6,10,9,10
90秒,1,6,10,8,10,10,10,8,10,10
74秒,2,6,10,8,7,8,9,10,10,9
44秒,2,6,9,9,9,10,10,10,10,10
30秒,2,6,8,6,10,7,5,6,9,6
51秒,2,6,10,10,9,9,10,9,10,10
91秒,2,4,8,5,6,8,6,6,8,9
37秒,2,6,8,9,10,10,9,10,10,9
171秒,1,6,10,9,10,10,10,10,10,10
419秒,2,2,9,8,8,9,8,9,9,9
68秒,2,6,5,7,5,9,10,6,8,10
86秒,1,6,9,9,10,10,9,9,10,9
48秒,1,6,8,9,10,4,10,9,9,8
135秒,1,6,9,8,6,9,8,9,8,9
924秒,1,6,6,3,8,8,5,6,10,10
149秒,1,6,9,4,2,6,9,3,5,7
26秒,1,6,9,8,10,7,10,9,8,7
171秒,2,6,9,8,9,10,9,9,10,9
48秒,1,5,8,9,9,10,8,10,9,10
217秒,1,6,8,7,8,9,6,7,8,8
59秒,2,6,10,10,8,10,10,10,10,10
37秒,2,6,8,8,9,9,9,9,9,9
199秒,2,6,7,6,7,9,9,8,9,9
395秒,2,6,7,6,8,5,7,7,5,9
257秒,2,5,9,8,7,10,8,9,9,10
155秒,2,6,9,7,6,9,9,9,9,9
208秒,1,6,8,7,6,10,10,8,9,8
151秒,1,6,5,5,9,9,6,8,9,9
157秒,2,4,5,9,8,9,5,7,9,9
54秒,2,2,10,10,10,10,10,5,10,10
399秒,2,6,5,0,9,10,5,2,10,8
137秒,2,6,6,8,6,7,8,8,8,8
114秒,1,6,9,9,10,9,9,9,9,10
88秒,2,6,8,8,8,8,8,8,8,8
179秒,2,6,8,7,8,9,8,8,9,10
154秒,2,5,8,10,8,10,10,10,8,10
203秒,2,6,9,9,7,8,8,7,6,8
28秒,2,6,8,7,8,9,8,8,9,10
121秒,2,4,9,1,5,9,2,5,8,10
186秒,2,6,8,7,6,6,7,7,8,9
39秒,1,4,5,6,8,7,6,8,9,4
211秒,1,6,10,8,10,9,7,8,8,10
79秒,2,6,9,8,10,10,7,10,9,10
64秒,1,6,10,10,9,9,10,10,10,10
26秒,2,6,8,8,8,8,8,8,8,8
115秒,2,5,7,5,5,7,8,6,7,8
31秒,2,4,8,8,5,6,4,3,5,8
271秒,2,6,10,6,10,10,10,9,10,10
124秒,1,4,5,1,2,10,1,3,9,10
110秒,1,4,9,4,3,7,9,6,7,7
197秒,1,6,6,10,8,10,7,8,9,4